date,value
19-04-2016,9.46
20-04-2016,9.08
21-04-2016,8.96
22-04-2016,9.27
23-04-2016,10.16
24-04-2016,10.16
25-04-2016,9.53
26-04-2016,9.53
27-04-2016,9.77
28-04-2016,9.87
29-04-2016,9.85
30-04-2016,9.64
01-05-2016,10.18
02-05-2016,9.76
03-05-2016,9.76
04-05-2016,9.71
05-05-2016,9.09
06-05-2016,9.85
07-05-2016,9.7
08-05-2016,11.59
09-05-2016,10.31
10-05-2016,9.66
11-05-2016,9.65
12-05-2016,9.31
13-05-2016,9.73
15-05-2016,10
16-05-2016,9.75
17-05-2016,9.1
18-05-2016,9.4
19-05-2016,9.03
20-05-2016,8.86
21-05-2016,9.05
22-05-2016,8.98
23-05-2016,8.65
24-05-2016,8.66
25-05-2016,8.52
26-05-2016,8.53
27-05-2016,8.33
28-05-2016,8.61
29-05-2016,8.61
30-05-2016,8.28
31-05-2016,8.22
01-06-2016,8.03
02-06-2016,6.78
03-06-2016,8.35
04-06-2016,8.16
06-06-2016,8.77
07-06-2016,8.6
08-06-2016,8.58
09-06-2016,8.61
10-06-2016,8.65
11-06-2016,9.19
12-06-2016,9.19
13-06-2016,8.41
14-06-2016,8.54
15-06-2016,8.4
16-06-2016,8.77
17-06-2016,8.69
18-06-2016,8.52
19-06-2016,8.84
20-06-2016,8.8
21-06-2016,8.71
22-06-2016,9.14
23-06-2016,9.1
24-06-2016,8.88
25-06-2016,9.51
26-06-2016,9.56
27-06-2016,9.51
28-06-2016,9.72
29-06-2016,9.98
30-06-2016,9.78
01-07-2016,9.81
02-07-2016,9.82
03-07-2016,10.19
04-07-2016,9.52
05-07-2016,11.1
06-07-2016,10.07
07-07-2016,9.68
08-07-2016,9.56
09-07-2016,10.08
10-07-2016,9.98
11-07-2016,11.26
12-07-2016,14.33
13-07-2016,14.83
14-07-2016,12.67
15-07-2016,11.81
16-07-2016,11.47
17-07-2016,11.96
18-07-2016,11.35
19-07-2016,11.47
20-07-2016,11.18
21-07-2016,11.26
22-07-2016,10.72
23-07-2016,11.52
24-07-2016,11.52
25-07-2016,10.51
26-07-2016,10.31
27-07-2016,10.43
28-07-2016,10.39
29-07-2016,10.09
30-07-2016,10.15
31-07-2016,10.62
01-08-2016,10.38
02-08-2016,10.3
03-08-2016,10.02
04-08-2016,10.03
05-08-2016,9.43
06-08-2016,9.55
07-08-2016,9.79
08-08-2016,9.7
09-08-2016,9.33
10-08-2016,9.33
11-08-2016,9
12-08-2016,8.88
13-08-2016,8.51
14-08-2016,8.06
16-08-2016,8.25
17-08-2016,8.17
18-08-2016,7.81
19-08-2016,7.83
20-08-2016,7.56
21-08-2016,7.63
22-08-2016,7.26
23-08-2016,6.98
24-08-2016,7.14
25-08-2016,7.06
26-08-2016,6.38
27-08-2016,6.15
28-08-2016,6.15
29-08-2016,6.22
30-08-2016,6.34
31-08-2016,6.01
01-09-2016,5.61
02-09-2016,5.62
03-09-2016,6.24
04-09-2016,6.49
05-09-2016,6.36
06-09-2016,5.91
07-09-2016,5.8
08-09-2016,5.88
09-09-2016,5.74
10-09-2016,5.87
11-09-2016,5.77
12-09-2016,5.52
13-09-2016,5.27
14-09-2016,5.51
15-09-2016,5.4
16-09-2016,5.57
17-09-2016,5.51
18-09-2016,5.7
19-09-2016,5.53
20-09-2016,5.53
21-09-2016,5.72
22-09-2016,5.34
23-09-2016,5.41
24-09-2016,5.16
25-09-2016,5.12
26-09-2016,5.4
27-09-2016,5.09
28-09-2016,5.21
29-09-2016,5.32
30-09-2016,5.36
01-10-2016,5.3
02-10-2016,5.08
03-10-2016,5.31
04-10-2016,5.28
05-10-2016,5.41
06-10-2016,5.19
07-10-2016,5.64
08-10-2016,5.53
09-10-2016,5.53
10-10-2016,5.31
11-10-2016,5.48
12-10-2016,5.48
13-10-2016,6
14-10-2016,6.14
15-10-2016,6.17
16-10-2016,6.26
17-10-2016,6.5
18-10-2016,6.4
19-10-2016,6.29
20-10-2016,5.83
21-10-2016,6.1
22-10-2016,5.78
23-10-2016,5.78
24-10-2016,6.05
25-10-2016,5.63
26-10-2016,5.78
27-10-2016,5.87
28-10-2016,5.62
29-10-2016,5.92
30-10-2016,6.06
31-10-2016,5.76
01-11-2016,5.76
02-11-2016,5.82
03-11-2016,6.48
04-11-2016,6.47
05-11-2016,6.48
06-11-2016,6.31
07-11-2016,6.98
08-11-2016,6.94
09-11-2016,7.16
10-11-2016,7.33
11-11-2016,7.46
12-11-2016,7.44
13-11-2016,7.28
14-11-2016,7.28
15-11-2016,7.43
16-11-2016,7.97
17-11-2016,9.67
18-11-2016,9.56
19-11-2016,9.35
20-11-2016,10.3
21-11-2016,9.35
22-11-2016,9.56
23-11-2016,9.47
24-11-2016,9.4
25-11-2016,9.93
26-11-2016,10.62
27-11-2016,10.62
28-11-2016,10.11
29-11-2016,9.92
30-11-2016,10
01-12-2016,9.52
02-12-2016,9.17
03-12-2016,9.06
04-12-2016,9.43
05-12-2016,8.87
06-12-2016,8.99
07-12-2016,9.2
08-12-2016,8.35
09-12-2016,8.63
10-12-2016,8.59
11-12-2016,8.59
12-12-2016,8.98
13-12-2016,8.66
14-12-2016,8.53
15-12-2016,8.83
16-12-2016,7.82
17-12-2016,8.4
18-12-2016,8.45
19-12-2016,8.07
20-12-2016,8.11
21-12-2016,8
22-12-2016,7.92
23-12-2016,7.57
24-12-2016,7.17
25-12-2016,7.24
26-12-2016,7.24
27-12-2016,7.47
28-12-2016,7.45
